2021-04-20 10:37:37 status half-installed findutils:amd64 4.8.0-1ubuntu1
2021-04-20 10:37:37 status unpacked findutils:amd64 4.8.0-1ubuntu1
2021-04-20 10:37:37 install gcc-11-base:amd64 <none> 11-20210417-1ubuntu1
2021-04-20 10:37:37 status half-installed gcc-11-base:amd64 11-20210417-1ubuntu1
2021-04-20 10:37:37 status unpacked gcc-11-base:amd64 11-20210417-1ubuntu1
2021-04-20 10:37:37 install grep:amd64 <none> 3.6-1
2021-04-20 10:37:37 status half-installed grep:amd64 3.6-1
2021-04-20 10:37:37 status unpacked grep:amd64 3.6-1
2021-04-20 10:37:37 install gzip:amd64 <none> 1.10-2ubuntu3
2021-04-20 10:37:37 status half-installed gzip:amd64 1.10-2ubuntu3
2021-04-20 10:37:37 status unpacked gzip:amd64 1.10-2ubuntu3
2021-04-20 10:37:37 install hostname:amd64 <none> 3.23
2021-04-20 10:37:37 status half-installed hostname:amd64 3.23
2021-04-20 10:37:37 status unpacked hostname:amd64 3.23
2021-04-20 10:37:37 install init-system-helpers:all <none> 1.60
2021-04-20 10:37:37 status half-installed init-system-helpers:all 1.60
2021-04-20 10:37:37 status unpacked init-system-helpers:all 1.60
2021-04-20 10:37:37 install libacl1:amd64 <none> 2.2.53-10ubuntu1
2021-04-20 10:37:37 status half-installed libacl1:amd64 2.2.53-10ubuntu1
2021-04-20 10:37:37 status unpacked libacl1:amd64 2.2.53-10ubuntu1
2021-04-20 10:37:37 install libattr1:amd64 <none> 1:2.4.48-6build1
2021-04-20 10:37:37 status half-installed libattr1:amd64 1:2.4.48-6build1
2021-04-20 10:37:37 status unpacked libattr1:amd64 1:2.4.48-6build1
2021-04-20 10:37:37 install libaudit-common:all <none> 1:3.0-2ubuntu1
2021-04-20 10:37:37 status half-installed libaudit-common:all 1:3.0-2ubuntu1
2021-04-20 10:37:37 status unpacked libaudit-common:all 1:3.0-2ubuntu1
2021-04-20 10:37:37 install libaudit1:amd64 <none> 1:3.0-2ubuntu1
2021-04-20 10:37:37 status half-installed libaudit1:amd64 1:3.0-2ubuntu1
2021-04-20 10:37:37 status unpacked libaudit1:amd64 1:3.0-2ubuntu1
2021-04-20 10:37:37 install libblkid1:amd64 <none> 2.36.1-7ubuntu2
2021-04-20 10:37:37 status half-installed libblkid1:amd64 2.36.1-7ubuntu2
2021-04-20 10:37:37 status unpacked libblkid1:amd64 2.36.1-7ubuntu2
2021-04-20 10:37:38 install libbz2-1.0:amd64 <none> 1.0.8-4ubuntu3
2021-04-20 10:37:38 status half-installed libbz2-1.0:amd64 1.0.8-4ubuntu3
2021-04-20 10:37:38 status unpacked libbz2-1.0:amd64 1.0.8-4ubuntu3
2021-04-20 10:37:38 install libc-bin:amd64 <none> 2.33-0ubuntu5
2021-04-20 10:37:38 status half-installed libc-bin:amd64 2.33-0ubuntu5
